category,confidence,tier,team,original_text,star_rating,product_category
warranty_claim,0.5618,flagged,Warranty Ops,WORST Reusable Coffee Filter EVER! - It lets the coffee flow out the top of it and into your cup!..Also the holes are TO,1,coffee_maker
warranty_claim,0.6093,flagged,Warranty Ops,Two Stars - very loose fit,2,vacuum
product_question,0.4275,escalate,Sales,Just get it - This filter has held up with the continued use .<br />But I have been careful on when and how I clean it .,5,coffee_maker
product_question,0.4211,escalate,Sales,This is the one that you need! - I love the ease of using and making my capsule.  The ‘cap’ top makes sealing the foil s,5,coffee_maker
product_question,0.4547,escalate,Sales,love it for so many purposes. - so many uses these maison jars. I love the versatility as you could make preserves or pi,5,coffee_maker
troubleshooting,0.4404,escalate,Tech Support,Works with seal pods - I was looking to keep our budget with our new found ways to enjoy our nesspresso and different co,5,coffee_maker
return_request,0.3212,escalate,Returns,"I like it! - This works great.  It does leave some dark coffee in the bottom of the cup, but, that does not bother me.  ",5,coffee_maker
product_question,0.4915,escalate,Sales,Nice tall coffee filter cones - I use these daily with 2 pour over coffee carafes. This is my second order. They are tal,5,coffee_maker
troubleshooting,0.4765,escalate,Tech Support,It's ok - It's ok. Mine doesn't stay closed and it's difficult to clean. Even when I use a baby spoon to scrape it clean,3,coffee_maker
product_question,0.6151,flagged,Sales,Great item - They look very nice on my stove,5,coffee_maker
troubleshooting,0.5356,flagged,Tech Support,"French Press works better - I was so excited to use this for cold brew since I love so many OXO products, but this was a",1,coffee_maker
return_request,0.5214,flagged,Returns,Convenient - They make clean up a snap. No mess.,5,coffee_maker
return_request,0.3417,escalate,Returns,"Reusable Coffee Filter Set - Just the right coffee filter set I needed for our RV Keurig Mini, so now we will not have t",5,coffee_maker
return_request,0.6566,auto_route,Returns,One Star - Did not fit either one of my Keurig Machines so sent it back for a refund,1,coffee_maker
product_question,0.3443,escalate,Sales,Five Stars - these work just fine.,5,coffee_maker
troubleshooting,0.4973,escalate,Tech Support,Doesn't work in mine. - I have a 2.0 Kuerig and these do not work. machinetells me that there is a pod in it that was no,1,coffee_maker
return_request,0.4402,escalate,Returns,"no more sludge - I like using my own coffee, but I am not a fan of sludge (sediment) in the last drink of my coffee. It ",5,coffee_maker
product_question,0.3448,escalate,Sales,"They clean the water - I double filter my water, these are the second system. I use a pitcher filter and then pour that ",5,coffee_maker
troubleshooting,0.4196,escalate,Tech Support,Good replacement - Very inexpensive yet makes a world of difference.  Good quality.  Plug in hole larger than original e,4,coffee_maker
return_request,0.3321,escalate,Returns,Five Stars - GREAT,5,coffee_maker
return_request,0.3321,escalate,Returns,Five Stars - GREAT,5,coffee_maker
product_question,0.3357,escalate,Sales,Five Stars - Worked well. Fit perfectly. Arrived when promised.,5,vacuum
product_question,0.3209,escalate,Sales,Wonderful - We use ours daily and they work great.  We rinse them and place them in the basket area of our dishwasher an,5,coffee_maker
product_question,0.4216,escalate,Sales,Good - Works well just like brand name ones,5,coffee_maker
product_question,0.4281,escalate,Sales,Good - Seem to be good,5,coffee_maker
return_request,0.3658,escalate,Returns,Product works fine. - Great money saving idea which brews great coffee. Disapointed that there are many much cheaper cop,3,coffee_maker
product_question,0.3842,escalate,Sales,Very convenient! - These are great! Highly recommended!,5,coffee_maker
product_question,0.3969,escalate,Sales,This thing is awesome! - And I use it in conjunction with the filters that fit this... My Keureg 2.0 is liberated! I get,5,coffee_maker
return_request,0.3841,escalate,Returns,Coffee didn't taste too great when using these vs buying the k - They worked ok. Coffee didn't taste too great when usin,3,coffee_maker
product_question,0.3859,escalate,Sales,Five Stars - Works with my Keurig.,5,coffee_maker
product_question,0.5147,flagged,Sales,Fits Perfect - When we are low on coffee we can use these in our K machine. O bought stainless because I was afraid plas,5,coffee_maker
product_question,0.3889,escalate,Sales,Nice and slim for a top dryer lint trap - Very nice. Flat and slim fits down top lint compartment well and gets the stuf,5,vacuum
return_request,0.3125,escalate,Returns,Five Stars - It came right on time and just what I was looking for.,5,coffee_maker
troubleshooting,0.7742,auto_route,Tech Support,My K-Cup and B40 - [[VIDEOID:552bd8e7a7c9edaed0c6e0d4a6490276]] *** VIDEO ATTACHED ***<br /><br />Originally I could not,4,coffee_maker
warranty_claim,0.3161,escalate,Warranty Ops,Quality Coffee .. not quite .. but it works - I thought I'd give these a try since I found my regular K-Cups lacking in ,3,coffee_maker
return_request,0.4513,escalate,Returns,Not quite as described - This is a good basic idea but has problems with actual functioning.  You must take off the drye,1,vacuum
warranty_claim,0.4654,escalate,Warranty Ops,One Star - Does not keep the grounds out of your coffee.  Buy a fold over filter.,1,coffee_maker
product_question,0.4134,escalate,Sales,Really helps - I can now make Nespresso pods using coffee beans that I buy and then grind at home; they are easy to use.,5,coffee_maker
return_request,0.4001,escalate,Returns,Five Stars - Does a good job.,5,vacuum
warranty_claim,0.3368,escalate,Warranty Ops,Water filter in Mr. Coffee - These filters are so often overlooked.  My husband is the only coffee drinker and I cleaned,5,coffee_maker
return_request,0.4036,escalate,Returns,Five Stars - always reliable and does the best job.,5,coffee_maker
product_question,0.4294,escalate,Sales,Shaped to fit! - These are perfect! Fit in my k cup no fumbling around. They are shaped to fit. Thanx so much for gettin,5,coffee_maker
product_question,0.3889,escalate,Sales,"Pretty purple and gold! Luv it! - I bought the 6pack cups, perfect! I usually buy a 4 pack of black ones. They seems sma",5,coffee_maker
product_question,0.3418,escalate,Sales,"Works with Cuisinart SS700 - Compatible with my Cuisinart (Keurig-style).  I use mainly with loose teas, 1 teaspoon for ",5,coffee_maker
product_question,0.3526,escalate,Sales,Five Stars - They are exactly as described and we like having various frothing pitchers to choose from.,5,coffee_maker
product_question,0.4761,escalate,Sales,Great bargain. I ordered these thinking I would share ... - Great bargain.  I ordered these thinking I would share w/my ,5,coffee_maker
product_question,0.327,escalate,Sales,Keurig coffee filters.. - Fits perfect. Works great great coffee no grounds. Awesome,5,coffee_maker
warranty_claim,0.3438,escalate,Warranty Ops,Keurig coffee filters - Works perfect.. Love them.. So handy. Fresh coffee everyone,5,coffee_maker
troubleshooting,0.4565,escalate,Tech Support,Worth the cost - Most iPods will not close after filling with coffee but these work better than others I use.,4,coffee_maker
warranty_claim,0.3552,escalate,Warranty Ops,Easy to use - Ordered natural color but got white.  That’s ok.,4,coffee_maker
product_question,0.2805,escalate,Sales,work well for me - have used others like these with paper filters and they work well. would buy agaian,5,coffee_maker
troubleshooting,0.5407,flagged,Tech Support,charcoal filter questionable - this filter did not show any signs of gray color when it was soaked before use.  maybe ch,4,coffee_maker
troubleshooting,0.3653,escalate,Tech Support,Five Stars - work great for me with my replacement k cup,5,coffee_maker
product_question,0.3795,escalate,Sales,These cups work good. Sometimes we have to hold down the cover ... - These cups work good.  Sometimes we have to hold do,4,coffee_maker
troubleshooting,0.299,escalate,Tech Support,Five Stars - still using it a year later,5,coffee_maker
product_question,0.3208,escalate,Sales,awesome - Great with my new single serve coffee maker...like to use my own coffee not the pods,5,coffee_maker
product_question,0.3823,escalate,Sales,Easy to use your own brand - Use daily,5,coffee_maker
troubleshooting,0.2657,escalate,Tech Support,Love it - Use it everyday.,5,coffee_maker
warranty_claim,0.5887,flagged,Warranty Ops,"Cheaply made, won't last.  AVOID THIS ONE. - Cracked down the side the first time I used it.  Coffee grounds in my coffe",1,coffee_maker
return_request,0.3333,escalate,Returns,Five Stars - Love these filters. Can use my favorite ground coffees easily in my keurig,5,coffee_maker
product_question,0.4296,escalate,Sales,Five Stars - Great product,5,coffee_maker
product_question,0.4076,escalate,Sales,"Works great - Works great, easy to clean & good for the environment",5,coffee_maker
return_request,0.3001,escalate,Returns,Five Stars - wasnt what i needed,5,coffee_maker
product_question,0.4126,escalate,Sales,Use it with a Keurig - Using this with a Keurig. It adds the right amount of water.,5,coffee_maker
product_question,0.5215,flagged,Sales,"This is going to be great. - This is going to be great for my husband, he not to into the flavored coffees, so he will l",5,coffee_maker
warranty_claim,0.314,escalate,Warranty Ops,"Best spittoon you can buy - I purchased my original mud jug about 5 years ago, and the price has more than paid for itse",5,coffee_maker
return_request,0.4032,escalate,Returns,Easy to use - They don’t change the flavor of my coffee at all. These are a great price for how many you get!,5,coffee_maker
troubleshooting,0.5606,flagged,Tech Support,Keep your Melitta working properly. Read why I might be wrong. - You can never go wrong with original brand filters in y,5,coffee_maker
product_question,0.5455,flagged,Sales,Fits perfectly - Bunn is a good quick cup of coffee,5,coffee_maker
product_question,0.3705,escalate,Sales,very happy from a first time pour over - The product arrived well packaged. It looks the same as the picture.<br /><br /,5,coffee_maker
troubleshooting,0.3637,escalate,Tech Support,"Am fine with these not sure how much longer using pods - First, I did not have the problem where I ordered this many and",4,coffee_maker
warranty_claim,0.3964,escalate,Warranty Ops,Agree w/several others - too much trouble to go to for brown water - I have my Senseo almost a year (just found out is b,2,coffee_maker
return_request,0.3295,escalate,Returns,Good Deal; Works Great - These are the greatest things since the invention of the Keurig. I have two of the pods and a d,5,coffee_maker
warranty_claim,0.5534,flagged,Warranty Ops,Un-Bleached #4 Coffee filters - Great quality.. great price... 100% without a single failure or tear.. Will definitely p,4,coffee_maker
troubleshooting,0.4644,escalate,Tech Support,"Broan QS130 - Unit arrived well packaged and protected all the way to Alaska. Unit does not ship with any bulbs,wiring o",4,vacuum
product_question,0.8032,auto_route,Sales,Perfect fit! - Great price !,5,coffee_maker
return_request,0.2789,escalate,Returns,"Very good filters! - Pro: I have tried 3 different types of filters which all worked good, but these are just perfect. T",5,coffee_maker
product_question,0.448,escalate,Sales,Good fit - Good fit and filter for my Keurig refill baskets. A bit pricey but good,5,coffee_maker
warranty_claim,0.4565,escalate,Warranty Ops,Good to use with my coffee when I run out ... - Good to use with my coffee when I run out of the prefilled pods or want ,4,coffee_maker
warranty_claim,0.4698,escalate,Warranty Ops,"Filters all flavor out ☹️ - Unfortunately, it filters all of the coffee flavor from the grounds. Tastes like warm water ",1,coffee_maker
return_request,0.437,escalate,Returns,Great product - Bought as a replacement - works like a charm,5,coffee_maker
return_request,0.5052,flagged,Returns,great - Easy to use and very easy to clean. Saves on buying filters. Good for the environment. I just save the grinds in,5,coffee_maker
troubleshooting,0.3996,escalate,Tech Support,"Most basic dryer vent - Just a really lightweight dryer vent, very thin aluminum, would not withstand much impact, would",4,vacuum
warranty_claim,0.4327,escalate,Warranty Ops,False advertising. NOT BREWORO - False advertising. NOT BREWORO,1,coffee_maker
warranty_claim,0.6547,auto_route,Warranty Ops,Had to return - Had to return. Water went through much too fast.,1,coffee_maker
product_question,0.4337,escalate,Sales,surprisingly useful - These have turned out to be surprisingly useful and sturdy. Love to think how much money I am savi,5,coffee_maker
troubleshooting,0.3763,escalate,Tech Support,"Good value - Was able to use for my machine, which is a Farberware single cup. Taking the kcup holder and putting this i",5,coffee_maker
warranty_claim,0.4233,escalate,Warranty Ops,"Not sure about this version of the prodcut - I've been using Keurig official ones for a long time. On this package, one ",3,coffee_maker
troubleshooting,0.3273,escalate,Tech Support,Five Stars - Best one I've tried.,5,coffee_maker
return_request,0.4126,escalate,Returns,Five Stars - Works great,5,coffee_maker
return_request,0.2974,escalate,Returns,Got it quick Hard to find - Works great,5,coffee_maker
product_question,0.4942,escalate,Sales,Perfect fit and performance - Zero coffee grounds in the bottom of the pot. Great tasting (ground) coffee bean flavor.,5,coffee_maker
warranty_claim,0.2988,escalate,Warranty Ops,Good strudy filter - Seems like a very good value to me,5,coffee_maker
product_question,0.4023,escalate,Sales,Filters - Filters fit perfectly - clean easily - last through 12-15 uses without a problem.  Be sure to dry thoroughly b,5,coffee_maker
product_question,0.2878,escalate,Sales,My-Kap - This is one of the best purchases I have ever made.  I have not found a K-cup that equals the quality and aroma,5,coffee_maker
troubleshooting,0.4368,escalate,Tech Support,Four Stars - It took some time to get these filters but they work great,4,coffee_maker
product_question,0.4784,escalate,Sales,Five Stars - It fits perfect in my coffee maker,5,coffee_maker
warranty_claim,0.367,escalate,Warranty Ops,"Clean up your coffee - If you use the reusable pods but don't like the ""mud"" that the plain screen let through you need ",5,coffee_maker
warranty_claim,0.3134,escalate,Warranty Ops,Got to have these - Love these much better value than buying pods.Dont waste coffee by pouring half a pot down the sink,5,coffee_maker
product_question,0.3868,escalate,Sales,"seasoned cold brewer here, lots of info below, brewer works great, easy to use - I have been drinking ""cold brew"" for we",5,coffee_maker
product_question,0.4474,escalate,Sales,"perfectly fine unbleached compostable coffee filter - ""If You Care"" products are pretty good. I buy them when I can as I",5,coffee_maker
return_request,0.3379,escalate,Returns,"Perfectly fine product, does the job with care - Every ""If You Care"" product I have used has been a good product. I am p",5,coffee_maker
warranty_claim,0.3582,escalate,Warranty Ops,"High quality, stainless steel, reusable k-cups, not for the Supreme models... - I'm sure these are perfectly fine reusab",5,coffee_maker
product_question,0.3521,escalate,Sales,"A complete dryer vent cleaning kit that all homeowners should have... - A few yrs ago, our dryer wasn't drying anymore. ",5,vacuum
product_question,0.594,flagged,Sales,Nice solid 4 ft x 10 ft foil duct... - The most economical foil duct at your local HD might be the Everbilt brand that i,5,vacuum
product_question,0.2969,escalate,Sales,Handy - It is a good scoop. You just have to watch how much you fill it.,4,coffee_maker
product_question,0.4757,escalate,Sales,Great Set but LOVE the filters! - I found these worked just as well as my other reusable k-cups and I love the filters s,5,coffee_maker
product_question,0.3861,escalate,Sales,Great for the Week - These are great and work just as they should. I love to fill them for the week so I don't have to w,5,coffee_maker
return_request,0.353,escalate,Returns,"Great - A nice, robust coffee flavor. It works great in my Keurig brewer. Makes a great cup of coffee. I do recommend it",5,coffee_maker
troubleshooting,0.7046,auto_route,Tech Support,Works great! - This universal filter for use in Keurig coffee machines is great. It allows me to use my favorite coffee ,5,coffee_maker
return_request,0.3316,escalate,Returns,Nice towels - I am happy with these. The absorbency was good. I liked the bright colors. Be careful when you wash them w,5,vacuum
return_request,0.4845,escalate,Returns,Excellent value - A very well made filter basket at a great price.,5,coffee_maker
return_request,0.4658,escalate,Returns,Epic Fail - This is the third one of these I've tried. None of them fit the way they say and none of them work. Can't re,1,coffee_maker
product_question,0.5692,flagged,Sales,Fit perfectly - Fit perfectly in my Aicok single coffee maker. They are a little easier to clean if you let the coffee g,5,coffee_maker
product_question,0.3735,escalate,Sales,money saving and eco friendly - This is a very convenient way to use the Keurig more economically and use your favourite,4,coffee_maker
product_question,0.3537,escalate,Sales,"Works perfectly - This is a great little frothing pitcher. No issues with cleaning it up, it comes out sparkling every t",5,coffee_maker
product_question,0.3664,escalate,Sales,"Work Great! - I bought these for my hubby as he doesnt like flavored coffee but loves the Keurig. They work great, easy ",5,coffee_maker
troubleshooting,0.58,flagged,Tech Support,Works For My Magic Chef Portable Dryer - I bought these to replace my filters for my Magic Chef portable dryer and they ,5,vacuum
product_question,0.3302,escalate,Sales,Easy and no waste. - This summer I have become dependent on cold brew coffee. I was just putting the grounds in a jar wi,5,coffee_maker
product_question,0.4853,escalate,Sales,The easiest way to make good coffee anywhere - This is the 5th one I've bought - all the previous ones were nicked by my,5,coffee_maker
troubleshooting,0.4441,escalate,Tech Support,Quick service - The item arrived quickly and was exactly as described. I've used this coffee cone on several trips and a,5,coffee_maker
return_request,0.3877,escalate,Returns,"Great - Excellent value, works well.",5,coffee_maker
troubleshooting,0.4921,escalate,Tech Support,"works great - no real issues - I've used it on one trip so far. It has a couple obvious drawbacks, but it works every bi",5,coffee_maker
return_request,0.3381,escalate,Returns,Perfect. - I'm not going to try any other filter. I love the coffee I make with these. I roast my own at home and use th,5,coffee_maker
warranty_claim,0.3118,escalate,Warranty Ops,"Hard to find this six - I use these with a single serve (non pod) travel coffee maker. Perfect for daily or travel, make",5,coffee_maker
product_question,0.3617,escalate,Sales,Five Stars - Work well with my coffee toddy.,5,coffee_maker
return_request,0.4539,escalate,Returns,Great filters and an even better price - I bought these for home use.  I shouldn't have to buy filters again for at leas,5,coffee_maker
warranty_claim,0.5073,flagged,Warranty Ops,"Luke  warm tea - This coffee maker is beautiful, but it’s makes Luke warm tea with a weak flavor.",3,coffee_maker
troubleshooting,0.6081,flagged,Tech Support,Can't figure why this will not fit! - The Keurig that I brought from Amazon is this one:  It is does not have a number t,3,coffee_maker
product_question,0.2811,escalate,Sales,Exact match to Keurig filter. - Matched perfectly to the OEM filter. It fit in my Keurig k-155 with no issues.  The filt,5,coffee_maker
warranty_claim,0.2808,escalate,Warranty Ops,"Decent Quality - The plastic portions of these reusable filters are a bit flimsy, like the handle, but they work well fo",4,coffee_maker
product_question,0.5399,flagged,Sales,"As Advertised - This duct is standard, and comes at a standard price. Fairly well-made and should hold up well.",4,vacuum
product_question,0.3954,escalate,Sales,"Outstanding - This is a great addition to any kitchen, especially if you don't have an ice-maker in the freezer. Setting",5,vacuum
return_request,0.3977,escalate,Returns,"Save Some Money - This is so easy to use, and the results I've gotten have been great! You're creating cold brew concent",5,coffee_maker
warranty_claim,0.5497,flagged,Warranty Ops,To thick to fit in a pod - It is too thick to fit in a pod.,2,coffee_maker
return_request,0.3009,escalate,Returns,Best K-Caraf filter that I have used so far - It is much better than other brands that I have used in terms of being thi,5,coffee_maker
troubleshooting,0.6856,auto_route,Tech Support,Not for Keureg 2.0 K550 - I have a Keureg 2.0 K550. Doesn't work with the filters. I tried several times and it overflow,3,coffee_maker
return_request,0.3206,escalate,Returns,"Good quality, don't overfill, don't use filter. - Cups work well, but make sure you don't overfill them. My other ones h",4,coffee_maker
warranty_claim,0.3871,escalate,Warranty Ops,So hard to find large tea cases like this.  Nice and roomy for larger pitchers - A screw or some type of mechanism to ke,5,coffee_maker
warranty_claim,0.5283,flagged,Warranty Ops,"Excellent large tea/coffee ""bag"".  A little smaller than a normal sized man's fist. - The lid does not attach however.  ",5,coffee_maker
product_question,0.5192,flagged,Sales,Good buy - This complements the metal pods. It does exactly what it says. Sturdy and durable.,5,coffee_maker
return_request,0.3431,escalate,Returns,Better than plastic - I've tried the plastic refillable k-cup pods and they are okay but these are way better. They don',5,coffee_maker
warranty_claim,0.3683,escalate,Warranty Ops,My coffee and the Keurig - I was tired of using substandard coffee in my keurig so ordered these and now I can use my Ko,5,coffee_maker
product_question,0.3649,escalate,Sales,Cute and useful - I originally got this as a frothing pitcher but find it works just as well as a placeholder under my c,5,coffee_maker
troubleshooting,0.5342,flagged,Tech Support,Works? - I had trouble in the beginning with this since you have to have the correct grind and fill the capsule to the r,4,coffee_maker
troubleshooting,0.3326,escalate,Tech Support,More trouble than I want to invest - These take a lot of work to make happen. I was hoping to be able to “make” my own c,3,coffee_maker
product_question,0.4283,escalate,Sales,"Nicely shaped, no drips - I generally use this as a catch for my Jura to rinse into unless I’m making cappuccino (which ",5,coffee_maker
product_question,0.3364,escalate,Sales,Arrived in the nick of time - My last frothing pitcher had just died when this arrived so it went to work right away. It,5,coffee_maker
product_question,0.2865,escalate,Sales,Fits Philips 3221/44 Espresso Machine- So Far So Good - We have a Philips Espresso machine that the entire family loves.,5,coffee_maker
product_question,0.3776,escalate,Sales,"Perfect If You Don't Like The Water Speeding Through Your Aeropress - I have had an Aeropress for some time now, and one",5,coffee_maker
troubleshooting,0.4588,escalate,Tech Support,Glad This Came With TWO - Broke First One - One of the places my family goes a lot has a Keurig.  We don't generally lik,4,coffee_maker
product_question,0.5338,flagged,Sales,"Nicer For Single Serving, Otherwise Not As Nice - My family has a little coffee shop in our home.  We love to make diffe",4,coffee_maker
troubleshooting,0.4416,escalate,Tech Support,Great To Take To Coffee Houses But Not My Favorite - I am spoiled.  I have had one of the nicest frothers ever.  Cafe Ca,3,coffee_maker
product_question,0.2854,escalate,Sales,Just what I needed. - Great product and can me used in any Keurig. It can be used with or without a paper filter as well,5,coffee_maker
product_question,0.3581,escalate,Sales,Works great!! - Just as advertised.  Works great !!,5,coffee_maker
return_request,0.3773,escalate,Returns,Really works well - Works well,5,coffee_maker
product_question,0.3733,escalate,Sales,Great - I love this product,5,coffee_maker
return_request,0.7135,auto_route,Returns,"Horrible return policy... it isn’t for my keurig, it advertised it was. - It doesn’t even fit my machine AT ALL. Apparen",1,coffee_maker
product_question,0.4335,escalate,Sales,These are AMAZING!! - Absolutely perfect filters for our Keurig!! So happy not to have a mess or sediment in our cups an,5,coffee_maker
product_question,0.308,escalate,Sales,"Great product, I love it! - Great product, I love it!",5,coffee_maker
product_question,0.3701,escalate,Sales,"Great product - Works like a charm, I love it!",5,coffee_maker
return_request,0.3586,escalate,Returns,Five Stars - Fantastic  Work very well,5,coffee_maker
warranty_claim,0.5287,flagged,Warranty Ops,The 185 are great These are too small for a single cup of - The 185 are great  These are too small for a single cup of c,1,coffee_maker
return_request,0.406,escalate,Returns,nice - nice,5,coffee_maker
product_question,0.3946,escalate,Sales,Perfect - These are exactly what we needed for our keurig. Helps keep everything working nicely.,5,coffee_maker
troubleshooting,0.3289,escalate,Tech Support,Best. Ever. - Very pleased I purchased this! It works perfectly and is easy to clean.,5,coffee_maker
troubleshooting,0.5503,flagged,Tech Support,sturdy - straining,5,coffee_maker
troubleshooting,0.4199,escalate,Tech Support,"What's All the Fuss About? - In spite of some disparaging reviews, I decided to order 2 of these.  Other reviewers who c",5,coffee_maker
product_question,0.76,auto_route,Sales,FITS THE BUNN MY CAFE K-CUP DRAWER!! - $ave a lot of $$$ with these. The main reason I purchased this particular brand o,5,coffee_maker
product_question,0.3314,escalate,Sales,"Melitta Cone Coffee Filters, Natural Brown #4, 100 Count (Pack Of 3) - Melitta Cone Coffee Filters, Natural Brown #4, 10",5,coffee_maker
return_request,0.324,escalate,Returns,"Melitta #2 Super Premium Cone Coffee Filters, Natural Brown, 100 Count (Pack of 6) - Melitta #2 Super Premium Cone Coffe",5,coffee_maker
return_request,0.3447,escalate,Returns,"Great Value - Great deal for the price, yes they come in a bag but no big deal.  All they are is carbon filters that pre",5,coffee_maker
product_question,0.3427,escalate,Sales,Five Stars - Great idea to filter coffee water. Coffee tastes much better.,5,coffee_maker
product_question,0.505,flagged,Sales,Just right - Fits the Andi's coffeemaker.. Love it!,5,coffee_maker
warranty_claim,0.3781,escalate,Warranty Ops,"Boy, What Would I Give for Unbleached - Not a big fan of dioxins in my coffee from bleached products, but I *just* can't",2,coffee_maker
return_request,0.3877,escalate,Returns,Disappointing - Coffee grounds in coffee - I have tried multiple times to use reusable filter to make coffee in my Keuri,1,coffee_maker
return_request,0.4061,escalate,Returns,Five Stars - Excellent customer service to go along with an excellent product.,5,coffee_maker
product_question,0.288,escalate,Sales,"Problem free, made in the USA - Three refillable K-Cups in a package is perfect because I now have one dedicated to coff",5,coffee_maker
product_question,0.4202,escalate,Sales,Chemex filters are necessary for the best coffee in a Chemex pot - I've been brewing coffee for decades in a Chemex coff,5,coffee_maker
product_question,0.3487,escalate,Sales,"When done, throw into the compost pile - The Melitta Tea Filters, 40-Count (Pack of 6) is a wonderful way to create tea ",5,coffee_maker
product_question,0.2756,escalate,Sales,Well constructed and shapely large vessel - I very much like the shape of this pitcher because it's diameter is larger t,5,coffee_maker
product_question,0.4377,escalate,Sales,Quality Filters! - This brand of filters is made of quality paper and sturdy.,5,coffee_maker
product_question,0.6323,flagged,Sales,"Convenient and Saves Money - I actually bought this item as a backup, just in case coffee filters run out and are no lon",5,coffee_maker
warranty_claim,0.4088,escalate,Warranty Ops,Great option. - These where great! But for some reason my coffee comes out very weak :( I bought a couple of good brands,5,coffee_maker
return_request,0.4357,escalate,Returns,Very easy to clean. - Soap and water are good...don't recommend using bleach; dish soap and let dry.,5,coffee_maker
return_request,0.4187,escalate,Returns,Disposable - Only use them one time for each brewing. One doesn't taste the paper.,5,coffee_maker
product_question,0.449,escalate,Sales,"Great for a shared coffee maker - Perfect for a community K-cup coffee maker, I no longer have to use the shared re-usab",5,coffee_maker
warranty_claim,0.307,escalate,Warranty Ops,Size matters - Got these for the Bunn Velocity Brew coffee maker.  They are deeper than the average basket coffee filter,5,coffee_maker
troubleshooting,0.5946,flagged,Tech Support,Cover malfunctioning - 3 of the covers does not close after few uses.,1,coffee_maker
product_question,0.3452,escalate,Sales,Great! - Great filters. Fits my Kcups. Will order a again,5,coffee_maker
return_request,0.3454,escalate,Returns,Great - Great,5,coffee_maker
warranty_claim,0.392,escalate,Warranty Ops,"Fits perfectly - Finally, we have a spare. Fits perfectly.",5,coffee_maker
product_question,0.3769,escalate,Sales,Works as described - Works as described,5,coffee_maker
product_question,0.3023,escalate,Sales,Great for Nespresso Pod Refills - I got these as an experiment to replace my MyCaps brand filters for the Nespresso refi,5,coffee_maker
warranty_claim,0.3911,escalate,Warranty Ops,Coffee grinds everywhere - This isn’t my first attempt at using a foil-based pod reloading kit but will be my last. Not ,1,coffee_maker
